iter	Passed	Remaining
813	1648	376
814	1650	374
815	1651	372
816	1653	370
817	1655	368
818	1657	366
819	1659	364
820	1660	362
821	1662	360
822	1664	357
823	1665	355
824	1667	353
825	1669	351
826	1671	349
827	1672	347
828	1674	345
829	1676	343
830	1678	341
831	1679	339
832	1681	337
833	1683	335
834	1685	333
835	1687	330
836	1688	328
837	1690	326
838	1692	324
839	1693	322
840	1695	320
841	1697	318
842	1699	316
843	1701	314
844	1703	312
845	1704	310
846	1706	308
847	1707	306
848	1709	304
849	1711	302
850	1713	299
851	1715	297
852	1716	295
853	1718	293
854	1720	291
855	1721	289
856	1723	287
857	1725	285
858	1726	283
859	1729	281
860	1730	279
861	1732	277
862	1734	275
863	1735	273
864	1737	271
865	1739	269
866	1740	267
867	1742	265
868	1744	262
869	1746	260
870	1748	258
871	1749	256
872	1751	254
873	1753	252
874	1754	250
875	1756	248
876	1758	246
877	1760	244
878	1762	242
879	1763	240
880	1765	238
881	1767	236
882	1768	234
883	1770	232
884	1772	230
885	1774	228
886	1776	226
887	1777	224
888	1779	222
889	1781	220
890	1782	218
891	1784	216
892	1786	214
893	1788	212
894	1790	210
895	1791	207
896	1793	205
897	1795	203
898	1797	201
899	1798	199
900	1800	197
901	1802	195
902	1803	193
903	1805	191
904	1807	189
905	1808	187
906	1810	185
907	1811	183
908	1813	181
909	1814	179
910	1815	177
911	1817	175
912	1819	173
913	1820	171
914	1824	169
915	1826	167
916	1828	165
917	1829	163
918	1832	161
919	1834	159
920	1836	157
921	1837	155
922	1839	153
923	1840	151
924	1842	149
925	1843	147
926	1844	145
927	1846	143
928	1848	141
929	1849	139
930	1851	137
931	1852	135
932	1854	133
933	1855	131
934	1856	129
935	1858	127
936	1859	125
937	1861	123
938	1862	121
939	1864	119
940	1865	116
941	1867	114
942	1868	112
943	1869	110
944	1871	108
945	1872	106
946	1873	104
947	1875	102
948	1877	100
949	1878	98
950	1880	96
951	1881	94
952	1882	92
953	1884	90
954	1885	88
955	1886	86
956	1888	84
957	1889	82
958	1891	80
959	1892	78
960	1894	76
961	1895	74
962	1896	72
963	1898	70
964	1899	68
965	1900	66
966	1902	64
967	1903	62
968	1904	60
969	1906	58
970	1908	56
971	1909	55
972	1911	53
973	1912	51
974	1913	49
975	1915	47
976	1916	45
977	1918	43
978	1919	41
979	1921	39
980	1923	37
981	1924	35
982	1926	33
983	1927	31
984	1929	29
985	1930	27
986	1932	25
987	1933	23
988	1934	21
989	1936	19
990	1938	17
991	1939	15
992	1941	13
993	1942	11
994	1944	9
995	1945	7
996	1947	5
997	1948	3
998	1949	1
999	1951	0
